"","grant_title","id","organization","total_amount","group","Grant start date","start_month","start_day","start_year"
"1","Apadrinamiento de 470 niños en alto riesgo social de La Pintana",1,"Asociación Benéfica Cristiana Promotora de Desarrollo Integral",11725588,"low","06-03-2013","06","03","2013"
"2","Taller de Manejo Conductual para personas afectadas por SPW",2,"Asociación Nacional del Síndrome de Prader Willi A.N.S.P.W.",2800000,"low","11-06-2013","11","06","2013"
"3","Programa de Fortalecimiento del Desarrollo Infantil en Programa Emprende Mamá",3,"Asociación de Damas Salesianas",18486362,"medium","09-24-2013","09","24","2013"
"4","Centro de apoyo a la familia Pica",4,"CREO PAIS",30000000,"medium","12-31-2013","12","31","2013"
"5","Rehabilitación de Personas de Escasos Recursos con Adicción a las Drogas",5,"Casa de Acogida La Esperanza",261960000,"high","05-02-2013","05","02","2013"
"6","Programa de Educacion para niños en situacion de pobreza y vulnerabilidad de las RM, Biobío, y Araucania",6,"Cecades",26160000,"medium","01-01-2013","01","01","2013"
"7","Proyecto RSE - Programa de Desarrollo Pullinque",7,"Corporación Agraria para el Desarrollo",78964695,"high","11-29-2013","11","29","2013"
"8","Jardín Infantil Crecechile Lo Barnechea",8,"Corporación Crece Chile",155694895,"high","02-14-2013","02","14","2013"
"9","Cuidado Infantil Educación y Participación",9,"Corporación Educacional y de Beneficencia Cristo Joven",117128757,"high","04-03-2013","04","03","2013"
"10","Talleres para promover una actitud emprendedora en jóvenes",10,"Corporación Forja Chile",4000000,"low","12-20-2013","12","20","2013"
"11","Perros de Asistencia Judicial R.M.",11,"Corporación Nacional de Fomento a la integracion Animal en la Rehabilitacion (CONFIAR)",60001154,"high","03-28-2013","03","28","2013"
"12","Red de Alimentos",12,"Corporación Red de Alimentos",393700001,"high","05-22-2013","05","22","2013"
"13","Apoyo Emocional a Mujeres con Cáncer de Mama",13,"Corporación Yo Mujer",7000000,"low","10-15-2013","10","15","2013"
"14","Ampliación y readecuación planta física Centro de Diagnóstico MATER",14,"Corporación de Ayuda al Niño Enfermo Renal Mater",61555138,"high","05-03-2013","05","03","2013"
"15","Sala de Ecografía para Menores con Patología Renal",15,"Corporación de Ayuda al Niño Enfermo Renal Mater",18350000,"medium","01-07-2013","01","07","2013"
"16","Fortalecimiento Organizaciones Sociales que prestan servicios a Personas de Escasos Recursos",16,"Corporación de Organizaciones Solidarias",69886543,"high","02-13-2013","02","13","2013"
"17","Alfabetización Digital de Usuarios Ciegos y de Baja Visión con el uso del Lector de Pantalla",17,"Corporación para Ciegos",200000,"low","01-05-2013","01","05","2013"
"18","Escuela Padre Hurtado Renca",18,"FUNDACION EDUCACIONAL SUMATE",12533832,"medium","08-31-2013","08","31","2013"
"19","Escuela Padre Lavin",19,"FUNDACION EDUCACIONAL SUMATE",10500,"low","12-31-2013","12","31","2013"
"20","Inserción a la Educación Técnica Superior",20,"FUNDACION EDUCACIONAL SUMATE",86476058,"high","08-31-2013","08","31","2013"
"21","Programas Prevención a la Deserción Escolar",21,"FUNDACION EDUCACIONAL SUMATE",89499812,"high","08-31-2013","08","31","2013"
"22","Sumate y Apadrina con Educación de calidad a niños jovenes en riesgo social",22,"FUNDACION EDUCACIONAL SUMATE",212632275,"high","01-31-2013","01","31","2013"
"23","Proyecto Portas",23,"Fundación Portas",12123500,"low","08-30-2013","08","30","2013"
"24","Construcción y Operación del Programa Terapéutico Residencial para Adultos Anawin",24,"Fundación (Paréntesis)",181213159,"high","01-31-2013","01","31","2013"
"25","Operacion de Programas Terapeuticos Residenciales Adultos La Manresa, San Francisco y Santa Ana",25,"Fundación (Paréntesis)",65531244,"high","05-31-2013","05","31","2013"
"26","Operación Proyecto de Infractores de Ley Arica",26,"Fundación (Paréntesis)",1182030,"low","01-31-2013","01","31","2013"
"27","Operación de Programas Terapéuticos Ambulatorios para Adolescentes",27,"Fundación (Paréntesis)",41905034,"medium","01-31-2013","01","31","2013"
"28","Operación de Programas Terapéuticos Residenciales",28,"Fundación (Paréntesis)",135000,"low","01-31-2013","01","31","2013"
"29","Operación de los Programas Terapéuticos Residenciales para Adultos La Tirana y Padre Alberto Hurtado",29,"Fundación (Paréntesis)",45648226,"medium","01-31-2013","01","31","2013"
"30","Operación de los Programas Terapéuticos Residenciales para Adultos Villamávida Hombres y Villamávida Mujeres",30,"Fundación (Paréntesis)",137039155,"high","01-31-2013","01","31","2013"
"31","Operación del Programa Terapéutico Ambulatorio Adolescente La Escalera",31,"Fundación (Paréntesis)",41137444,"medium","01-31-2013","01","31","2013"
"32","Operación del Programa Terapéutico Ambulatorio para Personas en Situación de Calle Concepción",32,"Fundación (Paréntesis)",20368720,"medium","01-31-2013","01","31","2013"
"33","Mejoramiento y construcción Complejo deportivo Mejillones",33,"Fundación AES Gener",900000000,"high","12-30-2013","12","30","2013"
"34","Programa Amigos de la Naturaleza",34,"Fundación AES Gener",64800000,"high","12-27-2013","12","27","2013"
"35","Construcción Sede Comunitaria Costa Brava",35,"Fundación Acción Social Educacional Goretti",47534000,"medium","01-29-2013","01","29","2013"
"36","Escuela Social de Cortometrajes",36,"Fundación Acción Social Educacional Goretti",11865560,"low","10-03-2013","10","03","2013"
"37","Junto al Barrio Costa Brava y Viento Sur, Promoviendo la Integración Comunitaria y Articulando Redes de Inversión Pública y Privada",37,"Fundación Acción Social Educacional Goretti",95000000,"high","01-29-2013","01","29","2013"
"38","Junto al Barrio El Castillo, promoviendo la organización comunitaria La Pintana y articulando redes de inversión pública y colaboración privada",38,"Fundación Acción Social Educacional Goretti",20500000,"medium","11-14-2013","11","14","2013"
"39","Junto al Barrio Galvarino, Promoviendo la Interacción Comunitaria",39,"Fundación Acción Social Educacional Goretti",20000000,"medium","08-08-2013","08","08","2013"
"40","Plazas para Ramón Cordero",40,"Fundación Acción Social Educacional Goretti",54000000,"high","07-29-2013","07","29","2013"
"41","Recuperación infraestructura sede social y multicancja JAB El Castillo",41,"Fundación Acción Social Educacional Goretti",30674846,"medium","06-18-2013","06","18","2013"
"42","Tercer Año Junto al Barrio La Pincoya",42,"Fundación Acción Social Educacional Goretti",55000000,"high","09-26-2013","09","26","2013"
"43","Ayudalos a seguir soñando",43,"Fundación Alter Ego",4850000,"low","11-19-2013","11","19","2013"
"44","Apoyo a la integración social y laboral de jovenes con discapacidad",44,"Fundación Amigos Por Siempre",4800000,"low","02-23-2013","02","23","2013"
"45","Centro Diurno de Rehabilitación con Base comunitaria",45,"Fundación Amigos de Jesús",12316617,"low","12-12-2013","12","12","2013"
"46","Asesoría Legal por la empleabilidad",46,"Fundación América Solidaria",10600000,"low","12-31-2013","12","31","2013"
"47","Hacia la Inlcusión Socio Familiar de los Usuarios de Residencia Protegida de Castro",47,"Fundación América Solidaria",17569300,"medium","11-13-2013","11","13","2013"
"48","Mejorando la calidad de vida de los Adultos mayores en Lebu y Los Alamos",48,"Fundación América Solidaria",6201000,"low","08-26-2013","08","26","2013"
"49","Red CAPA de Chillán, Linares y Hualpén",49,"Fundación América Solidaria",11604826,"low","05-30-2013","05","30","2013"
"50","Revitalizando el Presente Calidad de Vida Para Adultos Mayores en Achao",50,"Fundación América Solidaria",17564300,"medium","11-22-2013","11","22","2013"
"51","RSP Casa de Laura Santiago",51,"Fundación Beata Laura Vicuña",12120000,"low","12-20-2013","12","20","2013"
"52","Residencia Especializada Casa de la ,,,,",52,"Fundación Beata Laura Vicuña",5000000,"low","10-10-2013","10","10","2013"
"53","Residencia de Protección Amor, Paz y Alegría",53,"Fundación Beata Laura Vicuña",2400000,"low","10-11-2013","10","11","2013"
"54","Programa de Becas CFT (Centros de Formación Técnica) para ex alumnos de Belén Educa",54,"Fundación Belén Educa",5776563,"low","12-31-2013","12","31","2013"
"55","Mejorando las residencias de protección, para personas con Discapacidad Intelectual de la Fundación Coanil",55,"Fundación COANIL",20000000,"medium","12-31-2013","12","31","2013"
"56","Síndrome de Down y proyecto de vida inclusiva",56,"Fundación CPUED",80712000,"high","05-08-2013","05","08","2013"
"57","Activarse",57,"Fundación Casa de la Familia",39685730,"medium","09-12-2013","09","12","2013"
"58","Escuelas Melipilla 2013",58,"Fundación Casa de la Familia",5615500,"low","10-21-2013","10","21","2013"
"59","MI Vida Mi Esperanza",59,"Fundación Casa de la Familia",35000000,"medium","10-15-2013","10","15","2013"
"60","Manejo integral de heridas, mejorando la calidad de vida de los niños con Piel de Cristal",60,"Fundación Debra Chile",25000000,"medium","12-24-2013","12","24","2013"
"61","Fondo Descúbreme",61,"Fundación Descúbreme",78053919,"high","11-14-2013","11","14","2013"
"62","Programa para Inclusión Laboral de Personas con Discapacidad",62,"Fundación Descúbreme",51000000,"medium","12-17-2013","12","17","2013"
"63","Leer es Primero",63,"Fundación Educacional AraucaníAprende",84100000,"high","09-05-2013","09","05","2013"
"64","Programa de Becas CFT (Centros de Formación Técnica) para ex alumnos de Belén Educa",64,"Fundación Educacional Belén",5776563,"low","12-31-2013","12","31","2013"
"65","Programa de Lectro-Escritura comprensiva Primero Lee",65,"Fundación Educacional Crecer con Todos",45350000,"medium","03-05-2013","03","05","2013"
"66","Apoyo en Infraestructura para lograr Educación de Calidad",66,"Fundación Educacional San José Familia",15969067,"medium","12-31-2013","12","31","2013"
"67","Directores Líderes en Escuelas Vulnerables",67,"Fundación Educación 2020",92000000,"high","11-22-2013","11","22","2013"
"68","Programa de Mejoramiento de la Calidad de la Educación",68,"Fundación Educación 2021",2000000,"low","11-21-2013","11","21","2013"
"69","Programa de Mejoramiento de la Calidad de la Educación",69,"Fundación Educación 2022",2200000,"low","10-03-2013","10","03","2013"
"70","Programa de Mejoramiento de la Calidad de la Educación",70,"Fundación Educación 2023",20000000,"medium","03-12-2013","03","12","2013"
"71","Programa de Mejoramiento de la Calidad de la Educación",71,"Fundación Educación 2024",20000000,"medium","03-13-2013","03","13","2013"
"72","Selección, Formación y Acompañamiento de 160 Profesionales de ECH. RM, V, IX y XIV",72,"Fundación Enseña Chile",436482600,"high","01-18-2013","01","18","2013"
"73","Atención Multidiciplinaria a niños y jóvenes en residencia con medida de protección",73,"Fundación Esperanza",6000000,"low","12-05-2013","12","05","2013"
"74","Restitución del derecho a vivir en familia a lactantes y preescolares vulnerados en sus derechos",74,"Fundación Esperanza",3830000,"low","12-23-2013","12","23","2013"
"75","Barrios Eficiencia Hídrica y Energetica Condominios",75,"Fundación Gestión Vivienda",24120960,"medium","05-16-2013","05","16","2013"
"76","Construyendo Nuevos Barrios de Vivienda Social",76,"Fundación Gestión Vivienda",48925188,"medium","12-16-2013","12","16","2013"
"77","Fútbol Más: Escuela de Fútbol y Valores",77,"Fundación Grandes Valores",275647489,"high","04-30-2013","04","30","2013"
"78","Un Huerto, un Caballo y un Cuento....Experiencias Reparatorias con Niñas y Adolescentes Vulneradas",78,"Fundación Granja Educativa Terapéutica Caracol",12301533,"low","03-18-2013","03","18","2013"
"79","Ampliación de Bodega de ropa y mantención casa Lactantes y preescolares",79,"Fundación Hogar Esperanza",11850000,"low","07-03-2013","07","03","2013"
"80","Atención multidisciplinaria a lactantes y preescolares vulnerados en sus derechos",80,"Fundación Hogar Esperanza",56800000,"high","01-03-2013","01","03","2013"
"81","Reestablecer el derecho a vivir en familia a lactantes y preescolares vulnerables",81,"Fundación Hogar Esperanza",10050000,"low","07-03-2013","07","03","2013"
"82","Iluminando Sueños",82,"Fundación Ilumina",52853580,"high","03-12-2013","03","12","2013"
"83","Naturalizar educativamente Jardines Infantiles Etapa II",83,"Fundación Ilumina",62174356,"high","08-26-2013","08","26","2013"
"84","Semana Empresa - Una Experiencia Educativa de Inducción al Mundo Laboral",84,"Fundación Itaú Chile",5000000,"low","08-09-2013","08","09","2013"
