id;entrega;diagnostico;comconpers;motivación
1;0.0294;0.5;1;0.4
2;0.554;0;1;0.2
3;0.2014;0;1;0.2
4;0.5859;1;1;0.2
5;0.437;1;0.916666666666667;0.8
6;0.2734;0;0.883333333333333;0.6
7;0.554;1;0.875;0.8
8;0.4964;1;0.833333333333333;0.8
9;0.9044;0.5;0.833333333333333;0.6
10;0.4444;1;0.833333333333333;0.4
11;0.6667;1;0.811111111111111;0.2
12;0.8544;1;0.8;0.4
13;0.8444;1;0.766666666666667;1
14;0.2;0;0.766666666666667;0.2
15;0.8849;0;0.75;1
16;0.9704;1;0.75;0.8
17;0.3525;0;0.75;0.6
18;0.2;0;0.75;0.2
19;0.6719;0;0.75;0.2
20;0.3885;1;0.716666666666667;0.6
21;0.3209;1;0.716666666666667;0.4
22;0.9706;1;0.716666666666667;0.2
23;0.777;1;0.7;0.6
24;0.2391;1;0.683333333333333;0.2
25;0.9023;1;0.666666666666667;1
26;0.8864;1;0.666666666666667;0.8
27;0.6667;1;0.666666666666667;0.8
28;0.7348;0.5;0.666666666666667;0.4
29;0.438;0;0.666666666666667;0.4
30;0.8489;0;0.644444444444444;0.8
31;0.3094;1;0.644444444444444;0.6
32;0.9926;1;0.633333333333333;1
33;0.8273;1;0.633333333333333;0.8
34;0.8489;1;0.633333333333333;0.8
35;0.295;0;0.633333333333333;0.6
36;0.7698;1;0.633333333333333;0.6
37;0.3768;0;0.633333333333333;0.4
38;0.9565;0;0.616666666666667;0.4
39;0.9493;0;0.6;0.6
40;0.5379;1;0.6;0.4
41;0.9348;0.5;0.6;0.4
42;0.2374;0.5;0.6;0.2
43;0.9783;1;0.6;0.2
44;0.5507;0;0.6;0.2
45;0.5;0.5;0.6;0.2
46;0.964;1;0.583333333333333;1
47;0.9203;1;0.583333333333333;1
48;0.687;1;0.55;0.6
49;0.113;1;0.433333333333333;0.6
50;0.9913;1;0.394444444444444;1
51;0.0609;0.5;0.477777777777778;0.2
52;0.9217;1;0.35;0.8
53;0.9913;1;0.466666666666667;0.8
54;0.487;1;0.35;1
55;0.9913;1;0.35;0.8
56;0.8696;1;0.2;1
57;1,00;1;0.35;0.8
58;0.9826;1;0.283333333333333;0.8
59;0.9391;1;0.35;0.8
60;0.7565;1;0.4;0.6
61;0.9043;1;0.55;0.6
62;0.9826;1;0.383333333333333;0.8
63;0.8957;0.5;0.133333333333333;0.6
64;0.9826;1;0.383333333333333;1
65;0.9739;1;0.433333333333333;0.8
66;0.9739;1;0.433333333333333;0.8
67;0.9304;1;0.2;0.8
68;0.9739;1;0.35;0.8
69;#N/D;0;0.433333333333333;0.4
70;0.7565;1;0.2;0.8
71;0.8609;1;#¡DIV/0!;0.8
72;0.9565;1;0.283333333333333;0.8
73;0.5739;0.5;#N/D;0.6
74;0.8435;1;0.383333333333333;0.6
75;0.8609;0.5;0.3;0.8
76;0.9913;1;0.366666666666667;0.8
77;0.9913;1;0.35;0.6
78;1,00;1;0.311111111111111;0.6
79;0.7391;1;0.35;0.8
80;0.5217;0.5;0.3;0.8
81;0.3217;0.5;0.35;0.8
82;0.0174;0;0.483333333333333;0.2
83;0.9913;1;0.283333333333333;1
84;0.8696;1;0.35;0.8
85;0.7368;1;0.383333333333333;0.6
86;#N/D;1;0.216666666666667;1
87;0.6765;1;0.35;0.6
88;0.6471;0.5;0.433333333333333;0.8
89;0.637;1;0.283333333333333;0.8
90;0.4191;1;0.372222222222222;0.4
91;0.8897;1;0.394444444444444;0.4
